item_id,store_id,forecast_sales
HOUSEHOLD_2_255,CA_1,0.453138472483656
HOUSEHOLD_1_277,CA_1,0.14045648635343122
FOODS_3_179,CA_1,1.2533113551132076
HOUSEHOLD_2_242,CA_1,0.1315934469350745
HOUSEHOLD_2_008,CA_1,0.5551204853666232
FOODS_2_046,CA_1,0.6201457133083557
FOODS_2_034,CA_1,0.9410101318499986
HOBBIES_1_273,CA_1,0.4703216741563524
HOBBIES_2_085,CA_1,0.5000365055297202
FOODS_3_149,CA_1,0.8431831247872064
FOODS_3_163,CA_1,5.399864588131221
HOUSEHOLD_1_260,CA_1,0.1315934469350745
FOODS_2_058,CA_1,0.2966770996211011
HOUSEHOLD_1_291,CA_1,2.482361827517089
FOODS_3_422,CA_1,1.5418771195012069
HOBBIES_1_056,CA_1,1.037933833031264
FOODS_2_292,CA_1,0.2966770996211011
HOUSEHOLD_1_183,CA_1,0.5173137620525734
FOODS_3_498,CA_1,3.3792390651762023
HOUSEHOLD_2_396,CA_1,0.29666884986973946
FOODS_3_140,CA_1,2.3975318923159437
HOBBIES_1_123,CA_1,0.8223863147645829
HOUSEHOLD_1_399,CA_1,12.330511282190866
HOUSEHOLD_2_266,CA_1,0.5472544843832774
HOUSEHOLD_2_408,CA_1,0.3880981080181241
FOODS_2_154,CA_1,0.2966770996211011
FOODS_3_043,CA_1,1.7449404677491165
HOBBIES_1_106,CA_1,0.35177027016421636
FOODS_2_153,CA_1,4.1770911216750415
HOBBIES_1_075,CA_1,0.5133771557997102
HOBBIES_2_059,CA_1,1.4415785178918408
HOUSEHOLD_1_300,CA_1,0.29666884986973946
HOUSEHOLD_2_162,CA_1,0.7874944328262052
FOODS_2_138,CA_1,2.7843150434709254
FOODS_2_136,CA_1,0.8276158231242154
HOUSEHOLD_2_146,CA_1,0.20329457826319994
FOODS_1_110,CA_1,7.349059257033406
HOUSEHOLD_2_147,CA_1,0.11772351777015079
FOODS_1_135,CA_1,1.4502178147285514
HOUSEHOLD_2_164,CA_1,0.920652192387285
HOUSEHOLD_1_096,CA_1,9.924363035567236
HOUSEHOLD_1_025,CA_1,0.9597862278162033
FOODS_3_524,CA_1,0.12659480693986913
HOUSEHOLD_1_165,CA_1,0.4939404080380287
FOODS_3_273,CA_1,5.3910107002778425
FOODS_3_181,CA_1,2.7244460233571264
HOUSEHOLD_1_258,CA_1,0.29666884986973946
FOODS_3_255,CA_1,0.6201457133083557
HOUSEHOLD_1_494,CA_1,4.135942825318592
FOODS_1_122,CA_1,1.1395230050583878
FOODS_3_327,CA_1,2.787433609245287
FOODS_3_409,CA_1,1.4257002365914646
